n_conversations,preview_100char
16775,"                             As a prompt generator for a generative AI called ""Midjourney"", you will"
713,Hi
329,Hello
171,"CONSTRAINTS:  1. ~100k word limit for short term memory. Your short term memory is short, so immedia"
155,"CONSTRAINTS:  1. ~4000 word limit for short term memory. Your short term memory is short, so immedia"
127,continue
122,"Create a roleplaying game fantasy scenario where I play Sapphire, a 16-year-old girl mage who’s the "
112,More
99,"Generate an etsy title for a art work that can be added to mugs, painting, tshirt, etc within 140 ch"
93,"[there would be dialogue in this story:]  (Ever since I arrived in this fantasy world, I've become f"
88,"Write dialogue from a scene from the animated teen “Jane”, where 14 year old Jane, Jane’s 14 year ol"
79,translate to english
78,Thanks
78,Let's write a blog post that will rank on Google. I want you to try to include {keywords}. You shoul
76,"You are a professional screenwriter who specializes in writing creative, inventive and elaborate scr"
73,You are part of a team of bots that creates images . You work with an assistant bot that will draw a
71,Hi there
69,"Write a coherent, elaborate, descriptive and detailed screenplay/shooting script, including a full b"
67,"function hcyl(bottom, height, radius, id) { 	let radsq = radius * radius 	let innerRadsq = (radius -"
66,System: 6 words written to the file proceed with your plan.
